nom_commune,latitude,longitude,headcount
Fonbeauzard,43.6798211278,1.43492132755,2936.0
Fonsorbes,43.5317695743,1.23863670585,12024.0
Fontenilles,43.5554168376,1.19738282576,5298.0
Fousseret,43.2863317906,1.06495178565,1871.0
Fronton,43.8517933672,1.37926505581,5827.0
Frouzins,43.5213246491,1.31308144472,8810.0
Gagnac-sur-Garonne,43.7075932093,1.36359468155,2965.0
Gaillac,43.9170968776,1.88647213801,14626.0
Garidech,43.7133738852,1.55161276907,1727.0
Gimont,43.6206403859,0.880976872847,2918.0
Gragnague,43.6830952674,1.58238144646,1802.0
Gratentour,43.7204638549,1.43434867607,3614.0
Graulhet,43.7576562195,2.00122512851,12072.0
Grenade,43.7640507757,1.28038974975,8530.0
Grisolles,43.8224483737,1.28670830479,3919.0
Gruissan,43.1040163547,3.08229513652,4815.0
Honor-de-Cos,44.1168766255,1.3569697203,1577.0
Hérépian,43.591789169,3.11770187761,1532.0
Ille-sur-Têt,42.6774223178,2.61639804475,5484.0
Isle-Jourdain,43.6144926041,1.08127836593,8238.0
Isle-en-Dodon,43.3811500613,0.83387534106,1885.0
Labarthe-sur-Lèze,43.4585461585,1.40082976957,5248.0
Labastide-Saint-Georges,43.6998934044,1.84536170011,1981.0
Labastide-Saint-Pierre,43.9190655964,1.34640200769,3781.0
Labastide-Saint-Sernin,43.7357715003,1.4659716657,1859.0
Labastidette,43.4572488277,1.23711538242,2366.0
Labruguière,43.5090050313,2.26662007488,6611.0
Labège,43.539137717,1.5206207109,4418.0
Lacaune,43.6972753085,2.68833285874,2620.0
Lacroix-Falgarde,43.5008164665,1.42391034404,2071.0
Lacrouzette,43.6622260196,2.36167467964,1779.0
Lafrançaise,44.13545336,1.24021964059,2980.0
Lagardelle-sur-Lèze,43.4146075746,1.39259285705,2687.0
Lagarrigue,43.5759645911,2.28583565829,1848.0
Lagrave,43.8931087297,1.99033789406,2044.0
Laissac-Sévérac l'Église,44.3644570513,2.81804424075,1699.0
Lalbenque,44.3330164253,1.56498727825,1739.0
Lamalou-les-Bains,43.5964619142,3.08445405222,2617.0
Lanta,43.561512681,1.66802980553,1840.0
Lapeyrouse-Fossat,43.70162146,1.5103595038,2823.0
Laroque-d'Olmes,42.9675623246,1.87181602964,2589.0
Larra,43.7340725626,1.22427334755,1672.0
Launaguet,43.6700766081,1.45516003737,7941.0
Laurens,43.5218394157,3.1996305574,1566.0
Lautrec,43.7052468491,2.12929403349,1822.0
